"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://unfoldgrowth.com.br/contato","231","43","5,372","43,536","Hard","Indexable",""
"https://unfoldgrowth.com.br/ferramentas","235","40","5,875","42,472","Hard","Indexable",""
"https://unfoldgrowth.com.br/ferramentas/calculadora-trafego","278","49","5,673","42,223","Hard","Indexable",""
"https://unfoldgrowth.com.br/metodo","646","154","4,195","39,009","Hard","Indexable",""
"https://unfoldgrowth.com.br/atuacao","310","59","5,254","30,119","Hard","Indexable",""
"https://unfoldgrowth.com.br/diagnostico","288","53","5,434","44,751","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/automacao-de-marketing-e-vendas-para-incorporadora","1307","201","6,502","39,450","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/processo-comercial","1974","300","6,580","48,699","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/previsibilidade-comercial-como-sair-do-mes-a-mes-na-incorporadora","1546","246","6,285","47,016","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/agencia-de-trafego-ou-assessoria-de-growth","1436","207","6,937","48,327","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/marketing-de-lancamento-imobiliario-antes-durante-e-depois","1544","226","6,832","49,001","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/permuta-vgv-e-funil-estrutura-financeira-e-vendas","1437","205","7,010","41,529","Hard","Indexable",""
"https://unfoldgrowth.com.br/blog/sales-enablement-para-corretores-e-comite-de-compra","1480","222","6,667","44,416","Hard","Indexable",""
"https://unfoldgrowth.com.br/diagnostico/privacidade","380","60","6,333","33,210","Hard","Indexable",""
