"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-de-vendas.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-sdr.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-motor-vendas.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-growth-marketing-1.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-demanda-x-leads.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-time-de-growth.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-qualificacao-leads.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-sales-enablement.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-integracao-marketing-vendas.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-agencia-vs-assessoria.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-vendas-b2b%20(1).webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-ciclo-venda-imovel.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-estande-digital.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-pipeline-de-vendas.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-playbook-de-vendas.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-funil-construcao.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-quanto-investir-trafego.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-automacao-incorporadora.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
"https://unfoldgrowth.com.br/_next/image?url=https%3A%2F%2Flnhvxmehdrecgqiovzdl.supabase.co%2Fstorage%2Fv1%2Fobject%2Fpublic%2Fmedia%2Fcapa-marketing-lancamento.webp&w=1920&q=75","image/webp","200","OK","1.1","Indexable","","","",""
